nexient-llc repository name                                                     latest tag

tf-azureado-module_primitive-pipelines                                          None
tf-azureado-module_ref-pipeline                                                 None
tf-azurerm_module-network_manager_admin_rule                                    None
tf-azurerm_module-network_manager_admin_rule_collection                         None
tf-azurerm_module-network_manager_security_admin_configuration                  None
tf-azurerm-collection_module-network_group                                      None
tf-azurerm-collection_module-network_manager                                    None
tf-azurerm-module_collection-connect_hub_spoke                                  None
tf-azurerm-module_collection-hub_network                                        None
tf-azurerm-module_collection-hubspoke_monitor                                   None
tf-azurerm-module_collection-spoke_network                                      None
tf-azurerm-module_collection-virtual_network                                    0.2.1
tf-azurerm-module_primitive-application_insights                                None
tf-azurerm-module_primitive-container_registry                                  0.3.0
tf-azurerm-module_primitive-dns_zone                                            0.1.0
tf-azurerm-module_primitive-firewall                                            0.1.2
tf-azurerm-module_primitive-firewall_policy                                     0.1.0
tf-azurerm-module_primitive-firewall_policy_rule_collection_group               0.1.0
tf-azurerm-module_primitive-key_vault                                           0.3.0
tf-azurerm-module_primitive-kubernetes_cluster                                  0.3.0
tf-azurerm-module_primitive-log_analytics_workspace                             0.1.1
tf-azurerm-module_primitive-monitor_diagnostic_setting                          0.1.0
tf-azurerm-module_primitive-monitor_workspace                                   None
tf-azurerm-module_primitive-network_security_group                              0.1.1
tf-azurerm-module_primitive-network_security_rule                               0.1.0
tf-azurerm-module_primitive-network_watcher                                     0.1.0
tf-azurerm-module_primitive-network_watcher_flow_log                            0.1.0
tf-azurerm-module_primitive-nsg_subnet_association                              0.1.0
tf-azurerm-module_primitive-private_dns_records                                 0.1.0
tf-azurerm-module_primitive-private_dns_vnet_link                               0.1.0
tf-azurerm-module_primitive-private_dns_zone                                    0.1.0
tf-azurerm-module_primitive-private_endpoint                                    0.1.0
tf-azurerm-module_primitive-public_dns_records                                  0.1.0
tf-azurerm-module_primitive-resource_group                                      0.2.1
tf-azurerm-module_primitive-role_assignment                                     0.1.0
tf-azurerm-module_primitive-route                                               0.1.0
tf-azurerm-module_primitive-route_table                                         0.1.0
tf-azurerm-module_primitive-routetable_subnet_association                       0.1.0
tf-azurerm-module_primitive-storage_account                                     0.2.1
tf-azurerm-module_primitive-user_managed_identity                               0.1.0
tf-azurerm-module_primitive-virtual_network                                     0.2.0
tf-azurerm-module_primitive-vnet_peering                                        0.1.0
tf-azurerm-module_ref-kubernetes_cluster                                        0.3.0
tf-azurerm-module-dns_zone_record                                               None
tf-azurerm-module-network_interface                                             None
tf-azurerm-module-network_interface_security_group_association                  None
tf-azurerm-module-network_security_group                                        None
tf-azurerm-module-network_security_rule                                         None
tf-azurerm-module-public_ip                                                     None
tf-azurerm-module-role_assignment                                               None
tf-azurerm-module-subnet_network_security_group_association                     None
tf-azurerm-module-virtual_machine_extension                                     None
tf-azurerm-module-windows_virtual_machine                                       None
tf-azurerm-module-windows_web_app_delete_me                                     None
tf-azurerm-module-windows_web_app_old                                           None
tf-azurerm-wrapper_module-application_gateway                                   0.1.0
tf-azurerm-wrapper_module-frontend                                              None
tf-azurerm-wrapper_module-kubernetes_cluster                                    None
tf-azurerm-wrapper_module-security_group                                        None
tf-azurerm-wrapper_module-windows_virtual_machine                               None
